101.2411	-4.2069	26	6.9
101.1347	-4.3217	22	6.8
94.9362	11.8485	10	6.1
96.3575	2.3481	17	6.3
104.7907	-7.2822	49	6.9
100.0743	-2.8462	20	6
108.1743	-7.4921	90	6.5
99.6881	-1.159	43.14	6.3
101.6228	-3.7682	31	6.4
92.3044	6.1457	10	6
96.1678	5.2834	13	6.5
108.1627	-4.8626	614	6.6
100.6654	-2.0967	50	6.6
107.3857	-8.2036	29	6.1
94.3299	-4.9521	24	7.8
94.648	6.8431	10	6.6
102.2191	-2.542	151	6
98.7161	-0.7789	28	6.1
96.9388	1.9335	20	6
91.0921	-10.1229	4	6.5
92.7574	4.2485	35	6
94.3342	7.7448	21.54	6.4
109.2653	-7.9855	66	6.1
96.8261	2.044	20	6
100.564	-3.269	21	6
96.665	4.645	13	6.1
107.236	-10.004	9	6.7
95.907	4.927	12	6.1
100.594	-3.319	19	6.2
96.045	2.707	22	6.4
97.896	3.009	95	6.1
90.269	2.581	25	6.2
92.463	0.802	25.1	8.2
91.735	1.254	10	6
93.063	2.327	20	8.6
93.21	2.433	19	7.2
97.893	2.965	91	6.7
104.054	-6.282	29	6.1
97.086	1.612	20	6
107.693	-9.848	14	6.7
96.829	2.205	23	6.1
102.647	-5.03	36	6
100.372	-2.958	26	6.3
100.082	-3.487	20.1	7.8
91.936	7.881	35	7.5
93.471	11.132	112	6.5
96.018	3.748	38	7.2
101.096	-4.054	27	6.5
97.048	2.383	31	7.8
92.831	13.667	34	6.6
100.991	-3.762	26	6.8
99.393	-1.434	19	6
95.91	2.759	21	6
91.899	8.082	23	6
105.223	-6.534	38	6.1
101.524	-2.482	9	6.6
99.867	-0.72	81	7.6
107.297	-7.782	46	7
99.49	-1.479	20	6.7
92.902	14.099	24	7.5
100.471	-3.115	22	6.3
101.259	-4.348	24	6.3
91.814	11.055	20	6.2
91.712	10.847	15	6.1
91.824	11.005	17	6.6
99.147	1.64	10	6
95.296	2.855	20	6.3
94.596	2.708	25	6
99.823	-2.18	25	6.2
99.808	-2.245	25	6.7
99.891	-2.332	25	6.6
99.972	-2.486	25	7.2
99.931	-2.405	22	6.5
95.964	2.768	26	7.4
97.442	1.011	20	6.2
101.032	-2.782	35	6
96.806	2.087	23	6.1
100.413	-2.238	35	6
101.02	-3.899	21	6.8
92.903	2.543	35	6.2
95.523	2.9	35	6
99.488	-1.787	26	6.1
100.141	-1.999	30	6.7
100.892	-2.746	35	6
101.169	-4.075	23	6.4
101.524	-3.172	53	6
99.627	-2.13	22	7
99.668	-1.689	28.9	6.5
100.841	-2.625	35	7.9
101.367	-4.438	34	8.4
107.419	-5.859	280	7.5
107.681	-5.926	291.2	6.1
92.518	7.157	15	6.1
108.149	-10.492	10	6
95.7	2.916	30	6.1
100.53	-0.488	11	6.3
100.498	-0.493	19	6.4
92.437	8.077	11	6.1
92.361	10.653	24	6.2
99.079	3.39	204	6.3
96.348	2.403	22	6.2
