98.8	-2.76587548638
98.9	-2.70556420233
99	-2.64525291829
99.1	-2.58494163424
99.2	-2.52463035019
99.3	-2.46431906615
99.4	-2.4040077821
99.5	-2.34369649805
99.6	-2.28338521401
99.7	-2.22307392996
99.8	-2.16276264591
99.9	-2.10245136187
100	-2.04214007782
100.1	-1.98182879377
100.2	-1.92151750973
100.3	-1.86120622568
100.4	-1.80089494163
100.5	-1.74058365759
100.6	-1.68027237354
100.7	-1.61996108949
100.8	-1.55964980545
100.9	-1.4993385214
101	-1.43902723735
101.1	-1.37871595331
101.2	-1.31840466926
101.3	-1.25809338521
