102.3895	-6.4989	33.14	4.7
101.9387	-5.1633	27.65	4.6
96.3535	4.4477	6.23	4.9
109.6876	-9.7463	10	5.2
100.0588	1.1192	204.1	4
94.058	7.681	58.64	4.5
100.3367	-0.072	25.53	4.3
93.2653	12.619	62.26	4.6
102.144	-4.3819	42.46	4.3
94.2493	5.1474	37.14	4.4
98.2144	3.2862	127.59	5.2
97.7956	4.6103	10	4.8
103.7619	-6.1446	35	4.4
96.1349	3.067	27.89	5
102.93	-5.0092	55.23	5.2
94.5032	5.3123	64.82	4.9
106.605	-7.3706	57.56	4.5
96.284	2.7944	35	4.5
101.6833	-3.833	38.67	4.4
99.6606	1.5695	174.39	4.4
93.6071	10.1668	10	4.3
98.2731	0.4292	15.8	4.5
102.6756	-4.1499	82.23	4.2
97.1636	-1.1136	10	4.3
100.6254	-2.0553	53.92	4.2
92.5891	14.0018	10	4.3
102.0658	-4.3289	10	4.9
101.4312	-3.7802	35.79	4.3
100.8382	-1.1384	102.22	4.3
99.6307	-1.4843	53.98	4.7
102.8644	-4.7116	84.1	4.7
100.4248	-1.8052	20.32	5.2
93.9314	7.7441	51.17	4.7
95.8075	2.8479	27.28	4.3
92.4013	13.7389	10	4.3
99.3162	-2.6769	10	5.9
102.8238	-4.7595	58.24	4.4
95.6789	2.4904	10	4.2
105.1811	-6.6424	73.46	4.6
98.4197	2.4532	95.73	4.5
95.5687	5.7877	10	5.1
104.0546	-6.2677	33.63	4.9
91.8848	-4.6006	10	4.3
96.6451	2.0382	39.41	4.2
92.9836	13.9453	10	4.5
106.1567	-7.3061	39.99	5.2
97.7686	0.1745	10	4.8
97.8965	0.2202	35	4.4
97.8943	0.2342	35	5
101.7149	-3.9159	10	4.6
107.6332	-7.1501	10	4.3
102.4699	-5.2225	25.95	4.8
108.9762	-9.1872	37.09	4.5
98.9593	1.0671	107.42	4.2
88.3743	-2.4617	10	4.2
107.3838	-9.5189	40.5	4
99.2425	1.8203	144.39	4.2
100.4899	-1.5332	79.22	4.2
95.499	3.3538	35	4.1
107.8954	-8.1249	48.84	4.4
107.982	-7.9928	43	5.5
106.3321	-6.7441	10	4.5
100.3197	-3.4134	10	4.8
100.492	-3.2496	25.79	4.9
96.2557	2.8499	35	4.6
99.2547	-1.4961	38.48	4.4
100.2685	-3.4578	10	4.4
100.1457	-3.6478	10	4.6
